Time (s),Power (dBm),Percentage (%)
0.254229069,0,100
0.753957272,0,100
1.254144192,0,100
1.754079342,0,100
2.254236698,0,100
2.754124642,0,100
3.254197598,0,100
3.753954411,0,100
4.254103661,0,100
4.754035473,0,100
5.254186630,0,100
5.754092694,0,100
6.254166126,0,100
6.753881931,0,100
7.254073143,0,100
7.753990174,0,100
8.254152298,0,100
8.754063606,0,100
9.254209995,0,100
9.753861427,0,100
10.254073143,0,100
10.753989697,0,100
11.254091263,0,100
11.754052162,0,100
12.254147530,0,100
12.753822804,0,100
13.254016876,0,100
13.753962040,0,100
14.254051685,0,100
14.754007340,0,100
15.254120827,0,100
15.753792763,0,100
16.253995419,0,100
16.753960133,0,100
17.253987312,0,100
17.753982067,0,100
18.254083157,0,100
18.753796578,0,100
19.253948212,0,100
19.753965855,0,100
20.253941059,0,100
20.753953457,0,100
21.254042149,0,100
21.753757477,0,100
22.253910065,0,100
22.753952503,0,100
23.253887653,0,100
23.753924847,0,100
24.253981590,0,100
24.753742695,0,100
25.253873825,0,100
25.753930569,0,100
26.253841877,0,100
26.753893376,0,100
27.254019737,0,100
27.753681183,0,100
28.253859997,0,100
28.753898144,0,100
29.253804207,0,100
29.753667355,0,100
30.253982067,0,100
30.753672600,0,100
31.253830910,0,100
31.753862381,0,100
32.253990173,0,100
32.753835678,0,100
33.254004002,0,100
33.753630161,0,100
34.253898621,0,100
34.753818512,0,100
35.253962517,0,100
35.753746510,0,100
36.253772259,0,100
36.753591538,0,100
37.253955841,0,100
37.753806591,0,100
38.253933907,0,100
38.753723622,0,100
39.253782272,0,100
39.753579140,0,100
40.253965378,0,100
40.753776074,0,100
41.253921986,0,100
41.753555775,0,100
42.253760338,0,100
42.753549576,0,100
43.253929138,0,100
43.753730297,0,100
44.253697395,0,100
44.753557682,0,100
45.253692627,0,100
45.753563404,0,100
46.253864765,0,100
46.753695011,0,100
47.253775120,0,100
47.753508091,0,100
48.253724098,0,100
48.753677368,0,100
49.253847599,0,100
49.753634453,0,100
50.253760338,0,100
50.753468991,0,100
51.253656387,0,100
51.753665447,0,100
52.253802300,0,100
52.753580094,0,100
53.253762245,0,100
53.753479481,0,100
54.253630638,0,100
54.753641129,0,100
55.253788471,0,100
55.753505707,0,100
56.253592968,0,100
56.753420830,0,100
57.253694534,0,100
57.753613472,0,100
58.253744602,0,100
58.753525257,0,100
59.253554821,0,100
59.753398419,0,100
60.253624439,0,100
60.753569603,0,100
61.253495216,0,100
61.753410816,0,100
62.253540516,0,100
62.753393650,0,100
63.253570557,0,100
63.753541470,0,100
64.253611088,0,100
64.753355980,0,100
65.253507614,0,100
65.753522873,0,100
66.253509045,0,100
66.753511906,0,100
67.253636837,0,100
67.753319740,0,100
68.253475666,0,100
68.753516197,0,100
69.253460884,0,100
69.753327847,0,100
70.253466606,0,100
70.753274441,0,100
71.253564358,0,100
71.753481865,0,100
72.253420830,0,100
