Time (s),Altitude (m)
0.247789860,1.739278
1.248862267,1.812599
2.249936104,1.726278
3.248533249,1.728878
4.249608994,1.781398
5.248207092,1.764238
6.249284744,1.8464
7.247884750,1.989923
8.248962879,1.899441
9.247564316,1.944682
10.248643875,1.918681
11.249724388,1.815199
12.248327255,1.86356
13.249408722,1.815199
14.248012543,1.827679
15.249094963,1.754358
16.247700214,1.733038
17.248784065,1.761118
18.247390747,1.751238
19.248476029,1.606157
20.249560833,1.686237
21.248168945,1.600957
22.249256134,1.497478
23.247865200,1.456919
24.248952866,1.37892
25.247563362,1.4044
26.248652458,1.3758
27.249742031,1.3966
28.248354435,1.489158
29.249445438,1.444959
30.248059273,1.552598
31.249151707,1.587957
32.247766495,1.676357
33.248860359,1.677917
34.247476578,1.789199
35.248571396,1.798559
36.247189045,1.675837
37.248284817,1.800119
38.249382019,1.86356
39.248001099,1.909321
40.249099732,1.757478
41.247720242,1.701838
42.248819828,1.738238
43.247441769,1.749678
44.248542309,1.721078
45.247166157,1.665957
46.248268127,1.587437
47.249371052,1.579637
48.247996330,1.595757
49.249100685,1.522958
50.247727394,1.683117
51.248832703,1.622797
52.247460842,1.678437
53.248567581,1.571317
54.247197151,1.607717
55.248305321,1.532318
56.249414444,1.533878
57.248045445,1.507878
58.249155998,1.565077
59.247788429,1.577037
60.248899460,1.570277
61.247534275,1.532318
62.248646736,1.558837
63.247282028,1.630597
64.248396397,1.723678
65.247032642,1.824559
66.248148918,1.910881
67.249264717,1.821959
68.247903824,1.86512
69.249021053,1.801679
70.247661591,1.720038
71.248780727,1.704437
72.247421742,1.691957
73.248542309,1.681557
74.247185230,1.728878
75.248306751,1.818839
76.246951103,1.727318
77.248074055,1.712758
78.249197960,1.807399
79.247843742,1.760598
80.248969078,1.671157
81.247616768,1.717438
82.248743534,1.743958
83.247391701,1.620717
84.248519898,1.528678
85.247169972,1.461599
86.248299122,1.3992
87.246951103,1.411159
88.248081684,1.37892
89.246735096,1.39088
90.247866631,1.344081
91.248999119,1.314442
92.247654438,1.286363
93.248788834,1.288962
94.247445583,1.313922
95.248580456,1.341481
96.247239113,1.323802
97.248375416,1.40284
98.247034550,1.329521
99.248173237,1.36904
100.246833801,1.265563
101.247973442,1.245804
102.246635914,1.233844
103.247776508,1.245804
104.248918533,1.245804
105.247582913,1.193286
106.248725891,1.250484
107.247391701,1.248404
108.248536110,1.256204
109.247202873,1.229165
110.248348713,1.11217
111.247017384,1.051333
112.248164177,1.037293
113.246834278,1.173527
114.247983456,1.09241
115.246654511,1.156887
116.247804165,1.154288
117.246476650,1.137648
118.247628212,1.09761
119.248779774,1.075771
120.247454166,1.021174
121.248607636,0.9889361
122.247282505,1.088251
123.248437405,1.135568
124.247113705,1.09657
125.248269558,1.118409
126.246947289,1.063812
127.248103619,1.063812
128.246783257,1.070052
129.247940064,1.017534
130.246620655,1.017534
131.247779369,1.084611
132.246460438,1.139728
